rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
110,TSCO,Tractor Supply Co,31.72,48,51.3,,Wide,,Consumer Cyclical,Specialty Retail
111,PBH,Prestige Consumer Healthcare Inc,46.6,70,50.2,,Narrow,,Healthcare,Drug Manufacturers - Specialty & Generic
112,EL,The Estee Lauder Companies Inc Class A,80.01,120,50.0,,Wide,,Consumer Defensive,Household & Personal Products
113,LI,Li Auto Inc ADR,16.69,25,49.8,,None,,Consumer Cyclical,Auto Manufacturers
114,RIVN,Rivian Automotive Inc Class A,13.35,20,49.8,,None,,Consumer Cyclical,Auto Manufacturers
115,KRC,Kilroy Realty Corp,34.14,51,49.4,,None,,Real Estate,REIT - Office
116,LW,Lamb Weston Holdings Inc,43.65,65,48.9,,Narrow,,Consumer Defensive,Packaged Foods
117,ADBE,Adobe Inc,255.64,380,48.6,5,Narrow,,Technology,Software - Application
118,RPD,Rapid7 Inc,6.73,10,48.6,,None,,Technology,Software - Infrastructure
119,BXP,BXP Inc,59.92,89,48.5,,None,,Real Estate,REIT - Office
120,ATHM,Autohome Inc ADR,16.89,25,48.0,,None,,Communication Services,Internet Content & Information
121,LEN,Lennar Corp Class A,83.82,124,47.9,,None,,Consumer Cyclical,Residential Construction
122,TNDM,Tandem Diabetes Care Inc,13.53,20,47.8,,None,,Healthcare,Medical Devices
123,OTIS,Otis Worldwide Corp Ordinary Shares,71.13,105,47.6,,Wide,,Industrials,Specialty Industrial Machinery
124,WIX,Wix.com Ltd,55.75,82,47.1,,None,,Technology,Software - Infrastructure
125,QGEN,Qiagen NV,33.78,49.47,46.4,,Narrow,,Healthcare,Diagnostics & Research
126,GPI,Group 1 Automotive Inc,317.18,461,45.3,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
127,CCOI,Cogent Communications Holdings Inc,17.22,25,45.2,,Narrow,,Communication Services,Telecom Services
128,MDT,Medtronic PLC,77.32,112,44.9,,Narrow,,Healthcare,Medical Devices
129,BSX,Boston Scientific Corp,55.92,81,44.8,,Narrow,,Healthcare,Medical Devices
130,SNY,Sanofi SA ADR,43.54,63,44.7,,Narrow,,Healthcare,Drug Manufacturers - General
131,ICUI,ICU Medical Inc,123.08,178,44.6,,None,,Healthcare,Medical Instruments & Supplies
132,DPZ,Domino's Pizza Inc,308,443,43.8,,Wide,,Consumer Cyclical,Restaurants
133,ACN,Accenture PLC Class A,177.55,255,43.6,3,Narrow,,Technology,Information Technology Services
134,RCI,Rogers Communications Inc Shs -B- Non-Voting,35.53,51,43.5,,Narrow,,Communication Services,Telecom Services
135,GEHC,GE HealthCare Technologies Inc Common Stock,61.51,88,43.1,,Wide,,Healthcare,Medical Devices
136,SONY,Sony Group Corp ADR,22.71,32.5,43.1,,Wide,,Technology,Consumer Electronics
137,COO,The Cooper Companies Inc,60.94,87,42.8,,Narrow,,Healthcare,Medical Instruments & Supplies
138,ESTC,Elastic NV,53.91,77,42.8,,None,,Technology,Software - Application
139,XRAY,Dentsply Sirona Inc,9.82,14,42.6,,None,,Healthcare,Medical Instruments & Supplies
140,RMD,ResMed Inc,204.15,290,42.1,,Narrow,,Healthcare,Medical Instruments & Supplies
141,QLYS,Qualys Inc,97.98,139,41.9,,Narrow,,Technology,Software - Infrastructure
142,TCOM,Trip.com Group Ltd ADR,49.32,70,41.9,,Narrow,,Consumer Cyclical,Travel Services
143,A,Agilent Technologies Inc,112.11,159,41.8,4,Wide,,Healthcare,Diagnostics & Research
144,MSFT,Microsoft Corp,423.54,600,41.7,,Wide,,Technology,Software - Infrastructure
145,MOH,Molina Healthcare Inc,184.88,262,41.7,,Narrow,,Healthcare,Healthcare Plans
146,ATR,AptarGroup Inc,115.81,164,41.6,,Narrow,,Healthcare,Medical Instruments & Supplies
147,EMN,Eastman Chemical Co,70.94,100,41.0,,Narrow,,Basic Materials,Specialty Chemicals
148,EMN,Eastman Chemical Co,70.94,100,41.0,,Narrow,,Basic Materials,Specialty Chemicals
149,BF/B,Brown-Forman Corp Registered Shs -B- Non Vtg,26.25,37,41.0,,Wide,,Consumer Defensive,Beverages - Wineries & Distilleries
150,CCL,Carnival Corporation Ltd,24.91,35,40.5,,Narrow,,Consumer Cyclical,Travel Services
151,ELAN,Elanco Animal Health Inc,19.93,28,40.5,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
152,GAP,Gap Inc,20.73,29,39.9,,None,,Consumer Cyclical,Apparel Retail
153,OPTU,Optimum Communications Inc Class A,0.72,1,39.8,4,None,,Communication Services,Telecom Services
154,MKC,McCormick & Co Inc Ordinary Shares (Non Voting),46.7,65,39.2,,Wide,,Consumer Defensive,Packaged Foods
155,JD,JD.com Inc ADR,31.6,44,39.2,,Wide,,Consumer Cyclical,Internet Retail
156,META,Meta Platforms Inc Class A,611.21,850,39.1,,Wide,,Communication Services,Internet Content & Information
157,SMG,The Scotts Miracle Gro Co Class A,57.53,80,39.1,,Narrow,,Basic Materials,Agricultural Inputs
158,ALGN,Align Technology Inc,158.78,220,38.6,4,Narrow,,Healthcare,Medical Instruments & Supplies
159,BCE,BCE Inc,23.82,33,38.5,,Narrow,,Communication Services,Telecom Services
160,F,Ford Motor Co,13.03,18,38.1,,None,,Consumer Cyclical,Auto Manufacturers
161,INGR,Ingredion Inc,101.42,140,38.0,,Narrow,,Consumer Defensive,Packaged Foods
162,OSK,Oshkosh Corp,121.95,168,37.8,,Narrow,,Industrials,Farm & Heavy Construction Machinery
163,KMB,Kimberly-Clark Corp,96.54,133,37.8,,Narrow,,Consumer Defensive,Household & Personal Products
164,DOO,BRP Inc Shs Subord.Voting,55.33,76,37.4,,Wide,,Consumer Cyclical,Recreational Vehicles
165,HRL,Hormel Foods Corp,20.38,28,37.4,,Narrow,,Consumer Defensive,Packaged Foods
166,JKHY,Jack Henry & Associates Inc,139.11,191,37.3,,Wide,,Technology,Information Technology Services
167,WFG,West Fraser Timber Co.Ltd,59.15,81,36.9,,None,,Basic Materials,Lumber & Wood Production
168,CELH,Celsius Holdings Inc,29.33,40,36.4,,None,,Consumer Defensive,Beverages - Non-Alcoholic
169,DECK,Deckers Outdoor Corp,94.61,129,36.3,,Narrow,,Consumer Cyclical,Footwear & Accessories
170,TEX,Terex Corp,57.95,79,36.3,,Narrow,,Industrials,Farm & Heavy Construction Machinery
171,BMI,Badger Meter Inc,118.96,162,36.2,,Narrow,,Technology,Scientific & Technical Instruments
172,ICLR,Icon PLC,113.78,155,36.2,,None,,Healthcare,Diagnostics & Research
173,BKNG,Booking Holdings Inc,155.07,211,36.1,,Wide,,Consumer Cyclical,Travel Services
174,SNOW,Snowflake Inc Ordinary Shares,164.24,223,35.8,,None,,Technology,Software - Application
175,MELI,MercadoLibre Inc,1585.91,2150,35.6,,Wide,,Consumer Cyclical,Internet Retail
